fact_checker,date,location,label,title,explanation,claim_originated_by,url_checker
Maldita.es,2020/04/12 ,Spain,misleading,Travel permit for muslim people for Ramadan during the state of alarm in Spain.,"The travel permit is for Muslim people to buy ""essential goods that comply with Islamic law"", not to pray or celebrate Ramadan.",WhatsApp,https://maldita.es/malditobulo/2020/04/12/permiso-desplazamiento-musulmanes-ramadan-estado-alarma/
Estadão Verifica,2020/04/11 ,Brazil,false,Government of Pará placed detainees to watch people at bus stops.,Prisoners are working on demarcating points on the ground.  They are not surveiling people.,Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/perfis-bolsonaristas-distorcem-acao-de-combate-ao-coronavirus-no-para/
LeadStories,2020/04/12 ,United States,false,Mosques allowed to stay open in the US during the coronavirus epidemic while churches are forced to close.,"There are news stories and statements from both mosques and churches that they have all closed, and in some areas, churches have actually remained open.",facebook,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Mosques-NOT-Allowed-To-Stay-Open-While-Churches-Close-During-COVID-19.html
Maldita.es,2020/04/12 ,"Spain, Ecuador",false,Drinking or spraying seawater in the throat prevents the coronavirus from replicating.,"The food we eat or drink does not alter PH levels. When these are unbalanced in one direction or another, it can be a symptom of some diseases, such as diabetes or certain poisonings, and at the same time cause other problems such as arrhythmias, neurological disorders or, in severe and prolonged cases, death. Furthermore, even if the pH of the throat could be changed, this would not prevent the replication of the coronavirus either.",YouTube,https://maldita.es/malditaciencia/2020/04/12/no-beber-o-pulverizar-en-la-garganta-agua-de-mar-no-evita-que-se-replique-el-coronavirus/
Newtral.es,2020/04/11 ,Spain,false,Spanish Guardia Civil recommends uninstalling the Zoom application.,Guardia Civil has reported in a tweet this April 10 that the message is a hoax.,WhatsApp,https://www.newtral.es/la-guardia-civil-no-ha-recomendado-desinstalar-la-aplicacion-zoom/20200411/
Newschecker,2020/04/11 ,India,false,"In Bawana, India, this man was preparing to spread the coronavirus by injecting spit into the fruit.","After studying the video which has gone viral on social media, we found that there is no truth in the claims being made on Facebook and Twitter. The video is being shared with the communal angle to confuse people.",Twitter,https://www.newschecker.in/article/news-detail/275_15613586
PesaCheck,2020/04/11 ,Kenya,false,Former Kenyan Prime minister Raila has donated Kshs 142 million for Covid-19.,"Although the former prime minister made a donation in the form of essential supplies, this happened days after the claim was posted and the donation was valued at Ksh15 million.",Facebook post,https://pesacheck.org/false-this-post-claiming-raila-odinga-donated-ksh152-million-to-help-fight-covid-19-is-not-factual-645257b58ed3
Newtral.es,2020/04/11 ,Spain,false,WhatsApp limits the forwarding of messages depending on their content.,The instant messaging application has limited forwarding of messages worldwide and it does not depend on the content that is sent.,"Rafael Hernado, Spanish politician",https://www.newtral.es/es-falso-que-whatsapp-limite-los-reenvios-de-los-mensajes-segun-su-contenido/20200411/
Teyit,2020/04/11 ,Turkey,false,Spanish cartoonist portreyed Turkey’s success on Covid-19.,"The original cartoon has no flags and the cartoonist was Iranian, not Spanish.","Twitter, Facebook, News Portals",https://teyit.org/ispanyol-karikaturistin-turkiyenin-yeni-koronavirusle-mucadelesini-resmettigi-iddiasi/
Factly,2020/04/11 ,India,false,Ratan Tata has said that human motivation and determined efforts will make experts’ predictions go wrong regarding the fall of the Indian economy during the COVID-19 crisis.,The message has nothing to do with Ratan Tata. He clarified on his Twitter account that he neither said nor written that message. He also said that if he wan to say anything he will say it on his official channels.,Social Media,https://factly.in/telugu-no-ratan-tata-hasnt-said-that-human-motivation-and-determined-efforts-will-make-experts-predictions-go-wrong-regarding-the-indian-economy/
Teyit,2020/04/11 ,Turkey,partly false,Covid-19 pandemic is a large-scale experiment .,"The very long texts connects the irrelevant facts and creates an imaginary narrative. Facts, especially on climate change, are there but there is no connection between them.",WhatsApp,https://teyit.org/yeni-koronavirus-salgininin-bir-deney-oldugu-iddialari/
Animal Político,2020/04/11 ,Mexico,false,"The coronavirus COVID-19 is actually “not a biological weapon”, but a consequence of the 5G network, which “suffocates” humans.",Nothing that a long Facebook post that disseminates such a theory says can be scientifically supported.,Facebook posts,https://www.animalpolitico.com/elsabueso/red-5g-asfixia-humanos-no-toxinas-causa-covid-19/
Newtral.es,2020/04/11 ,Spain,false,Former Spanish Minister Corcuera criticizes the government’s management in a WhatsApp Audio.,The audio shared via WhatsApp was not recorder by the minister. It was recorded by a news anchor.,Audio via WhatApp,https://www.newtral.es/el-audio-criticando-la-gestion-del-gobierno-durante-el-coronavirus-no-es-el-exministro-jose-luis-corcuera/20200411/
Newtral.es,2020/04/11 ,Spain,false,The Government publishes the deadline of the containment measures by Covid-19.,The Government confirms to Newtral.es that the infographic that is going viral with the end dates of the confinement is false. Another image with the same information attributed to an alleged information of the Cadena SER is also false.,Image via WhatsApp,https://www.newtral.es/es-falso-que-el-gobierno-haya-publicado-ya-las-fechas-de-finalizacion-de-las-medidas-de-confinamiento-por-el-covid-19/20200411/
LeadStories,2020/04/11 ,"United States, China",false,15 major global pandemics all originated in China.,LeadStories team found that at least seven of the 15 listed pandemics originated outside of China.,twitter,https://leadstories.com/hoax-alert/2020/04/fact-check-15-global-pandemics-did-not-all-originate-in-china.html
Estadão Verifica,2020/04/11 ,Brazil,false,Government of Pará placed detainees to watch people at bus stops.,Prisoners are working on demarcating points on the ground.  They are not surveiling people.,Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/perfis-bolsonaristas-distorcem-acao-de-combate-ao-coronavirus-no-para/
BOOM FactCheck,2020/04/11 ,India,false,Nigella seeds contain hydroxychloroquine which when mixed with helps keep coronavirus away.,"Nigella seeds have medicinal properties and have been useful in treatment of malaria, in combination with chloroquine. However, there's no evidence that it cures COVID-19. The seeds do not contain hydroxychloroquine.",All social media platforms,https://www.boomlive.in/coronavirus-outbreak/hydroxychloroquine-found-in-kalonji-seeds-not-quite-7631
Rappler,2020/04/11 ,Philippines,false,"Even if the Department of Social Welfare and Development (DSWD) gives all families in the Philippines their allotted amount as part of the government’s emergency subsidy – worth a total of P200 billion – in light of the coronavirus pandemic, there would still be P57 billion to spare.","The computation used to arrive at the claim does not consider that the P200-billion emergency subsidy covers two months and is only given to the target 18 million low-income families, as outlined in Republic Act No. 11469 or the Bayanihan to Heal as One Act.",Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/258612-balance-dswd-emergency-subsidy-even-if-all-families-get-coronavirus-cash-aid
AFP,2020/04/11 ,Kenya,false,A post shared on Facebook and WhatsApp claims that China has sent COVID-19 vaccines to Burundi.,"The claim is false; China did donate medical supplies to the eastern African nation, but not vaccines, which do not exist yet for the disease.","FB, WhatsApp",https://factcheck.afp.com/chinese-donation-consisted-general-medical-supplies-help-fight-covid-19
INFACT,2020/04/11 ,Japan,false,The US Embassy in Japan warns “the Japanese medical system will collapse soon”.,"In the ""Health Alert"" released by the US Embassy in Japan  on April 3, they say while they have confidence in Japan’s health care system today, it's still hard to predict how well it will continue to function in the coming weeks. Although the alert says ""In the event of a spike in cases, U.S. citizens may not be able to receive the medical care in Japan"", they do not concluded that the ""Japanese medical care system will collapse.""",Twitter,https://infact.press/2020/04/post-5446/
Newschecker,2020/04/11 ,India,false,"In Bawana, India, this man was preparing to spread the coronavirus by injecting spit into the fruit.","After studying the video which has gone viral on social media, we found that there is no truth in the claims being made on Facebook and Twitter. The video is being shared with the communal angle to confuse people.",Twitter,https://www.newschecker.in/article/news-detail/275_15613586
PesaCheck,2020/04/11 ,"Kenya, Gambia",false,Image showing a donation claimed to be by Kenyan Deputy President Ruto.,"The image shows what appears to be bags of grain and oil containers among other food items arranged in rows that stretch over a large sandy area.However, a reverse image search shows that the image was taken in The Gambia and is among other photos of the same donation taken from different angles and uploaded to Facebook in May 2019.",Facebook post,https://pesacheck.org/false-this-image-of-food-donation-claimed-to-be-by-dp-ruto-is-from-the-gambia-5317b3fc0468
PesaCheck,2020/04/11 ,Kenya,false,Former Kenyan Prime minister Raila has donated Kshs 142 million for Covid-19.,"Although the former prime minister made a donation in the form of essential supplies, this happened days after the claim was posted and the donation was valued at Ksh15 million.",Facebook post,https://pesacheck.org/false-this-post-claiming-raila-odinga-donated-ksh152-million-to-help-fight-covid-19-is-not-factual-645257b58ed3
Newschecker,2020/04/11 ,India,false,A Facebook user shared a video that shows a flock of birds on a road in Chandigarh.,"The video of a flock of birds being shared on social media claiming that the video has been shot at Chandigarh is false, The video is actually from Ahmedabad and was shot at Riverfront on 12 Feb 2020.",Facebook/Twitter,https://www.newschecker.in/article/news-detail/275_15615449
Newtral.es,2020/04/11 ,Spain,false,WhatsApp limits the forwarding of messages depending on their content.,The instant messaging application has limited forwarding of messages worldwide and it does not depend on the content that is sent.,"Rafael Hernado, Spanish politician",https://www.newtral.es/es-falso-que-whatsapp-limite-los-reenvios-de-los-mensajes-segun-su-contenido/20200411/
Teyit,2020/04/11 ,Turkey,false,Spanish cartoonist portreyed Turkey’s success on Covid-19.,"The original cartoon has no flags and the cartoonist was Iranian, not Spanish.","Twitter, Facebook, News Portals",https://teyit.org/ispanyol-karikaturistin-turkiyenin-yeni-koronavirusle-mucadelesini-resmettigi-iddiasi/
Factly,2020/04/11 ,India,false,Ratan Tata has said that human motivation and determined efforts will make experts’ predictions go wrong regarding the fall of the Indian economy during the COVID-19 crisis.,The message has nothing to do with Ratan Tata. He clarified on his Twitter account that he neither said nor written that message. He also said that if he wan to say anything he will say it on his official channels.,Social Media,https://factly.in/telugu-no-ratan-tata-hasnt-said-that-human-motivation-and-determined-efforts-will-make-experts-predictions-go-wrong-regarding-the-indian-economy/
Verificado,2020/04/11 ,Mexico,false,Banks will only open Tuesday and Thursday in Mexico.,"The misinterpretation of a circular from Banco de México has given rise to the circulation of a FALSE message through WhatsApp, warning that branches in Mexico will only open two days a week. Although the aforementioned document is real and leads to the official DOF page, it has been taken out of context and misinterpreted",WhatsApp,https://verificado.com.mx/falso-que-bancos-solo-abriran-martes-y-jueves/
BOOM FactCheck,2020/04/11 ,India,false,Indian News channel claims Pakistan PM’s wife tested positive for Coronavirus .,This is a doctored screen grab of an Indian news channel falsely claiming that the Pakistan PM's wofe tested positive.,Twitter,https://www.boomlive.in/fake-news/morphed-aajtak-screenshot-claims-pak-pms-wife-test-covid-19-positive-7633
TheJournal.ie,2020/04/11 ,Ireland,false,The Irish national health service is sending a text message to people asking them to click on a link after coming in contact with someone who has been diagnosed with COVID-19.,"The national health service in Ireland is not sending out these text messages, and has advised anyone who receives them to not click on the link and to instead delete the message.",WhatsApp/text,https://www.thejournal.ie/debunked-contact-tracing-message-not-from-the-hse-5072419-Apr2020/
Estadão Verifica,2020/04/11 ,Brazil,false,Government of Pará placed detainees to watch people at bus stops.,Prisoners are working on demarcating points on the ground.  They are not surveiling people.,Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/perfis-bolsonaristas-distorcem-acao-de-combate-ao-coronavirus-no-para/
PesaCheck,2020/04/11 ,Kenya,false,"Treasury is depositing Kshs 45, 000 to the mobile wallet of Nairobi residents in Kenya.","The post urges residents to confirm their MPESA details with the Treasury in order to receive the funds apparently meant to assist them to cater for their needs while they stay at home due to the COVID-19 crisis.
There has been no such communication from the National Treasury, and the government’s monetary assistance is based on a defined national needs assessment matrix.",Facebook post,https://pesacheck.org/false-treasury-is-not-sending-ksh45-000-upkeep-to-nairobi-residents-during-covid-19-crisis-d870205219f
Rappler,2020/04/11 ,Philippines,false,"Even if the Department of Social Welfare and Development (DSWD) gives all families in the Philippines their allotted amount as part of the government’s emergency subsidy – worth a total of P200 billion – in light of the coronavirus pandemic, there would still be P57 billion to spare.","The computation used to arrive at the claim does not consider that the P200-billion emergency subsidy covers two months and is only given to the target 18 million low-income families, as outlined in Republic Act No. 11469 or the Bayanihan to Heal as One Act.",Several Facebook pages and accounts,https://www.rappler.com/newsbreak/fact-check/258612-balance-dswd-emergency-subsidy-even-if-all-families-get-coronavirus-cash-aid
PesaCheck,2020/04/11 ,Kenya,false,Former Kenyan Prime minister Raila Odinga has COVID-19.,Raila Odinga has not been tested positive for COVID-19.,Twitter,https://pesacheck.org/false-raila-odinga-has-not-tested-positive-for-covid-19-7b90ad5b1619
INFACT,2020/04/11 ,Japan,false,The US Embassy in Japan warns “the Japanese medical system will collapse soon”.,"In the ""Health Alert"" released by the US Embassy in Japan  on April 3, they say while they have confidence in Japan’s health care system today, it's still hard to predict how well it will continue to function in the coming weeks. Although the alert says ""In the event of a spike in cases, U.S. citizens may not be able to receive the medical care in Japan"", they do not concluded that the ""Japanese medical care system will collapse.""",Twitter,https://infact.press/2020/04/post-5446/
Newschecker,2020/04/11 ,India,false,"In Bawana, India, this man was preparing to spread the coronavirus by injecting spit into the fruit.","After studying the video which has gone viral on social media, we found that there is no truth in the claims being made on Facebook and Twitter. The video is being shared with the communal angle to confuse people.",Twitter,https://www.newschecker.in/article/news-detail/275_15613586
FactCrescendo,2020/04/11 ,India,false,Hindu man in Rajasthan killed by Muslims amidst lockdown.,The video is originally from Pakistan where a man was maimed by his wife's relatives.,Facebook/Whatsapp,https://www.factcrescendo.com/fact-check-hindu-man-killed-by-muslims-in-rajasthan/
Newschecker,2020/04/11 ,India,false,Coronavirus can be avoided by eating nigella with honey as it contains 100% hydroxychloroquine. Hydroxychloroquine treats coronavirus.,"Hydroxychloroquine is not present in the substances found in nigella, but it contains thymoquinone. Hydroxychloroquine is also not yet proven as a cure coronavirus though many countries giving HCQ to COVID-19 patients.",WhatsApp,https://www.newschecker.in/article/news-detail/275_15609687
Newschecker,2020/04/11 ,India,false,"A WhatsApp forward, along with a video, is doing the rounds in which it is claimed that a person who belongs to the Tablighi Jamaat was kept in an isolation ward where he started wandering naked. The viral forward also claims that the person who was wandering naked did this vulgar act intentionally.",The video being circulated in the name of Tablighi Jamaat members’ misbehaving with the nurses treating them for the COVID-19 is old. Hence it is evident that the viral claim is ‘False’ and is being shared with a communal angle.,WhatsApp,https://www.newschecker.in/article/news-detail/275_15610172
Vishvas News,2020/04/11 ,India,false,Mustard oil can kill coronavirus.,"No, Mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",FB page,https://www.vishvasnews.com/health/fact-check-no-mustard-oil-cannot-cure-coronavirus-however-it-has-certain-health-benefits-2/
Animal Político,2020/04/11 ,Mexico,false,Hunagrian authorities are capturing men 50 or over to make them spend quarantine in govenment facilities.,The images with police violence are from 2019 protests in Azerbaijan.,Facebook Posts,https://www.animalpolitico.com/elsabueso/hungria-violencia-coronavirus-falso/
FactCrescendo,2020/04/11 ,India,false,Pak PM Imran Khan’s wife tested positive for COVID-19.,Morphed newscard of popular Indian news channel Aaj Tak was used to spread fake news.,Facebook,https://www.malayalam.factcrescendo.com/fake-news-propagating-with-artificial-screenshot-of-aajtak-tv/
Vishvas News,2020/04/11 ,India,false,Israel has no deaths from COVID-19; tea made of lemon and bicarbonate can cure coronavirus.,"The post claiming Israel has no deaths from COVID-19 is false. And, hot tea made of lemon and bicarbonate is not a cure for the novel coronavirus.",Fb user,https://www.vishvasnews.com/health/fact-check-post-claiming-israel-has-no-deaths-from-covid-19-is-false-tea-made-of-lemon-and-bicarbonate-is-no-cure-for-coronavirus-2/
Fatabyyano,2020/04/11 ,"Middle East, North Africa",false,Ali Gomaa ( famous islamic sheikh) in his program said that 5G may have had a role in the spread of COVID19.,WHO debunked the claim that 5G has a role in the spread of COVID-19.,facebook,https://fatabyyano.net/%d8%af%d9%83%d8%aa%d9%88%d8%b1-%d8%b9%d9%84%d9%8a-%d8%ac%d9%85%d8%b9%d8%a9-%d9%8a%d9%86%d8%b4%d8%b1-%d8%a7%d8%af%d9%91%d8%b9%d8%a7%d8%a1-%d8%b2%d8%a7%d8%a6%d9%81-%d9%81%d9%8a%d8%b1%d9%88%d8%b3-%d9%83/
Vishvas News,2020/04/11 ,India,false,ICMR issued a report claiming the number of people infected with thte coronavirus increased up to 8 Lakh if india did not announce a lockdown.,ICMR did not publish any such report about the possible numbers of COVID-19 infected people.,FB User-Chandan Singh,https://www.facebook.com/groups/dsdrss/permalink/3346344562098279/
FactCrescendo,2020/04/11 ,India,false,Indian state of uttar Pradesh waives of electricity bills of its consumers amid covid19 lockdown.,"It is fake news, the UP government has not made any such announcement.",Facebook/Twitter,https://www.malayalam.factcrescendo.com/fact-check-did-up-government-waive-electricity-bill-for-three-months/
FactCrescendo,2020/04/11 ,India,false,Video,An old and unrelated video is used to make the claim.,Facebook,https://www.malayalam.factcrescendo.com/old-and-random-video-used-to-spread-propaganda-against-migrant-labourers/
Estadão Verifica,2020/04/11 ,Brazil,false,Government of Pará placed detainees to watch people at bus stops.,Prisoners are working on demarcating points on the ground.  They are not surveiling people.,Facebook posts,https://politica.estadao.com.br/blogs/estadao-verifica/perfis-bolsonaristas-distorcem-acao-de-combate-ao-coronavirus-no-para/
FactCrescendo,2020/04/11 ,India,false,Indian Ruling Party BJP’s members burn Kolhapur airport on the night of candle light vigil organized to proclaim unity in fight against COVID-19.,An old video was shared to make the false claim.,Facebook,https://tamil.factcrescendo.com/factcheck-was-bjp-burnt-kohalpur-airport-on-candlelight-vigil-day/
FactCrescendo,2020/04/11 ,India,false,Industrialist Ratan Tata’s view on economic downfall due to COVID-19.,The quote on economical downfall due to COVID-19 is falsely attributed to Ratan Tata.,WhatsApp/Facebook/Twitter,https://english.factcrescendo.com/2020/04/11/fact-check-ratan-tatas-view-on-the-economic-downfall-due-to-covid-19/
FactCrescendo,2020/04/11 ,India,false,Poster allegedly containing guidelines on use of PPE kits for COVID-19 issued by Ministry Of Health and Family Welfare in India.,Indian Government has clarified that it has not issued such advisory.,WhatsApp,https://assamese.factcrescendo.com/has-mohfw-issued-additional-guidelines-for-ppe-kits/
CheckNews,2020/04/10 ,France,false,“Actors” applauded Macron when he visited the suburban city of Pantin near Paris.,Real families live in the building where people applauding (and yelling at) Macron were filmed.,"Facebook, Twitter",https://www.liberation.fr/checknews/2020/04/10/non-macron-n-a-pas-ete-applaudi-par-des-figurants-a-pantin_1784694
AFP,2020/04/10 ,Indonesia,false,A video has been viewed thousands of times on Facebook alongside a claim it shows Muslims in the US praying on a street during the coronavirus pandemic.,The claim is false; the footage has circulated online since February 2017; it corresponds with other footage in reports about a February 2017 protest in New York City against President Donald Trump’s Muslim travel ban.,FB,https://factcheck.afp.com/video-shows-protest-new-york-city-2017
Vishvas News,2020/04/10 ,India,false,Mustard oil can kill coronavirus.,"No, mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",Fb user,https://www.vishvasnews.com/english/health/fact-check-no-mustard-oil-cannot-cure-coronavirus-however-it-has-certain-health-benefits/
Factly,2020/04/11 ,India,false,Ratan Tata has said that human motivation and determined efforts will make experts’ predictions go wrong regarding the fall of the Indian economy during the COVID-19 crisis.,The message has nothing to do with Ratan Tata. He clarified on his Twitter account that he neither said nor written that message. He also said that if he wan to say anything he will say it on his official channels.,Social Media,https://factly.in/telugu-no-ratan-tata-hasnt-said-that-human-motivation-and-determined-efforts-will-make-experts-predictions-go-wrong-regarding-the-indian-economy/
AFP,2020/04/10 ,Hong Kong,false,A video of two Albanian female news anchors wearing revealing jackets on-air has been viewed tens of thousands of times on Twitter alongside a claim that they dressed promiscuously in a bid to persuade people to stay indoors during the COVID-19 pandemic.,The claim is false; the footage first aired on an Albanian TV channel years before the COVID-19 pandemic.,Twitter,https://factcheck.afp.com/broadcast-first-aired-albanian-tv-channel-years-covid-19-pandemic
LeadStories,2020/04/10 ,United States,false,China’s Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.,"The Chinese scientist villainized in the video actually helped warn against the pandemic, and there is still no evidence that COVID-19 was created as a bioweapon.",Epoch Times,https://leadstories.com/hoax-alert/2020/04/Fact-Check-There-Is-NO-Evidence-China-Created-Then-Unleashed-Coronavirus-As-Bioweapon.html
Vishvas News,2020/04/10 ,India,false,Israel has no deaths from COVID-19; tea made of lemon and bicarbonate can cure coronavirus.,"The post claiming Israel has no deaths from COVID-19 is false. And, hot tea made of lemon and bicarbonate is no cure for novel coronavirus.",Fb user,https://www.vishvasnews.com/english/health/fact-check-post-claiming-israel-has-no-deaths-from-covid-19-is-false-tea-made-of-lemon-and-bicarbonate-is-no-cure-for-coronavirus/
PolitiFact,2020/04/10 ,United States,false,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,"There’s no evidence herd immunity has limited coronavirus deaths in California, which adopted stay-at-home measures before New York did.",Facebook,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/herd-immunity-curbed-covid-deaths-no/
AfricaCheck,2020/04/10 ,Nigeria,misleading,A news article headline says the Chinese team of 15 doctors sent to Nigeria have all tested positive for coronavirus.,"The headline doesn't match the article, which doesn't say that all the Chinese experts tested positive for COVID-19. There is no evidence of this, and it hasn't been reported by any mainstream media. The team were quarantined for 14 days and tested for the disease.","Exclusive103.com, Facebook",https://africacheck.org/fbcheck/chinese-medical-experts-sent-to-nigeria-tested-positive-for-covid-19-no-headline-false/
LeadStories,2020/04/10 ,United States,false,Soap and hand sanitizer can be used to kill coronavirus in the body.,There is still no known cure for coronavirus once infected.,facebook,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Soap-And-Hand-Sanitizer-Are-NOT-A-Cure-For-Coronavirus.html
LeadStories,2020/04/10 ,United States,false,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.","Most of the figures and facts the man makes, who is not a medical doctor, are unfounded in science.",youtube,https://leadstories.com/hoax-alert/2020/04/fact-check-biological-engineer-did-not-offer-medically-supported-information-in-viral-video.html
PolitiFact,2020/04/10 ,United States,false,"“Per order from @GovWhitmer, people in Michigan are now banned from purchasing a new baby car seat in stores.”",Michigan Gov. Gretchen Whitmer’s stay-at-home order does not ban the sale of car seats. Initial confusion about the order led to some Michigan Walmart stores mistakenly prohibiting the sale of car seats.,Tweet,https://www.politifact.com/factchecks/2020/apr/17/tweets/michigan-residents-can-still-buy-car-seats/
AAP FactCheck,2020/04/10 ,Australia,false,Instagram posts marketing Cinchona bark powder as the substance from which the drug chloroquine is made and  suggesting the powder as a potential protection or cure for COVID-19.,"Based on the evidence, AAP FactCheck found the claims in the post to be false. Chloroquine and hydroxychloroquine are synthetic analogues of quinine and chloroquine is not made from cinchona bark. The claim that “many people recovered” from COVID-19 after receiving chloroquine is also not accurate.",Instagram,https://www.aap.com.au/instagrams-covid-19-chloroquine-merchants-are-barking-up-the-wrong-tree/
Newtral.es,2020/04/11 ,Spain,false,Spanish Guardia Civil recommends uninstalling the Zoom application.,Guardia Civil has reported in a tweet this April 10 that the message is a hoax.,WhatsApp,https://www.newtral.es/la-guardia-civil-no-ha-recomendado-desinstalar-la-aplicacion-zoom/20200411/
Vishvas News,2020/04/10 ,India,false,Kenya Government hired the warriors of Maasai tribe to enforce lockdown.,The government of Kenya did not hire the warriors of Masai tribes to enforce lock down in the country.,FB User-Vishal Punjabi,https://www.vishvasnews.com/politics/fact-check-no-kenya-goverment-did-not-hire-the-warriors-of-massai-tribes-to-enforce-lock-down/
Vishvas News,2020/04/10 ,India,false,Mustard oil can kill coronavirus.,"No, mustard oil cannot cure coronavirus; however, it has certain health benefits. The viral post claiming that mustard oil can kill coronavirus is fake.",Fb user,https://www.vishvasnews.com/english/health/fact-check-no-mustard-oil-cannot-cure-coronavirus-however-it-has-certain-health-benefits/
AAP FactCheck,2020/04/10 ,Australia,false,Instagram posts marketing Cinchona bark powder as the substance from which the drug chloroquine is made and  suggesting the powder as a potential protection or cure for COVID-19.,"Based on the evidence, AAP FactCheck found the claims in the post to be false. Chloroquine and hydroxychloroquine are synthetic analogues of quinine and chloroquine is not made from cinchona bark. The claim that “many people recovered” from COVID-19 after receiving chloroquine is also not accurate.",Instagram,https://www.aap.com.au/instagrams-covid-19-chloroquine-merchants-are-barking-up-the-wrong-tree/
AFP,2020/04/10 ,Hong Kong,false,A video of two Albanian female news anchors wearing revealing jackets on-air has been viewed tens of thousands of times on Twitter alongside a claim that they dressed promiscuously in a bid to persuade people to stay indoors during the COVID-19 pandemic.,The claim is false; the footage first aired on an Albanian TV channel years before the COVID-19 pandemic.,Twitter,https://factcheck.afp.com/broadcast-first-aired-albanian-tv-channel-years-covid-19-pandemic
LeadStories,2020/04/10 ,United States,false,China’s Communist government created the novel coronavirus in a laboratory and released it into the world as a deadly bioweapon.,"The Chinese scientist villainized in the video actually helped warn against the pandemic, and there is still no evidence that COVID-19 was created as a bioweapon.",Epoch Times,https://leadstories.com/hoax-alert/2020/04/Fact-Check-There-Is-NO-Evidence-China-Created-Then-Unleashed-Coronavirus-As-Bioweapon.html
Efecto Cocuyo,2020/04/10 ,Venezuela,false,Maduro decreed three months of quarantine.,"Maduro did extend the quarantine, but only 30 days since the 16th April.",Whatsapp,https://efectococuyo.com/cocuyo-chequea/nicolas-maduro-extendio-cuarentena-tres-meses/
FactCrescendo,2020/04/10 ,India,false,Rs 2000 notes scattered in Delhi to spread Coronavirus infection.,"The incident has no connection with COVID-19, A person accidentally dropped some currency notes and later returned to claim the same, which was handed to him by the local police team.",Facebook/Whatsapp/Twitter,https://www.factcrescendo.com/fact-check-people-scattered-notes-to-spread-coronavirus-in-delhi/
PolitiFact,2020/04/10 ,United States,false,Herd immunity is probably why California has far fewer COVID-19 deaths than New York.,"There’s no evidence herd immunity has limited coronavirus deaths in California, which adopted stay-at-home measures before New York did.",Facebook,https://www.politifact.com/factchecks/2020/apr/21/facebook-posts/herd-immunity-curbed-covid-deaths-no/
Faktograf,2020/04/10 ,Croatia,false,"Croatian doctors, including the country’s health minister, held a ceremonial ball despite of quarantine measures.",The annual ceremonial ball organized by Croatian doctors was held weeks before quarantine measures have been introduced.,Facebook post,https://faktograf.hr/2020/04/10/ne-lijecnici-na-celu-s-ministrom-berosem-nisu-odrzali-svecani-bal-usprkos-zabrani-okupljanja/
The Quint,2020/04/10 ,India,false,Muslim women are misbehaving with doctors in India.,"The video is actually from Pakistan, and the location in the video is the Sukkur quarantine facility in the country.",Facebook,https://www.thequint.com/news/webqoof/woman-attack-medical-staff-in-india-no-video-is-from-pakistan-sindh-sukkur-qaurantine-centre
AfricaCheck,2020/04/10 ,Nigeria,misleading,A news article headline says the Chinese team of 15 doctors sent to Nigeria have all tested positive for coronavirus.,"The headline doesn't match the article, which doesn't say that all the Chinese experts tested positive for COVID-19. There is no evidence of this, and it hasn't been reported by any mainstream media. The team were quarantined for 14 days and tested for the disease.","Exclusive103.com, Facebook",https://africacheck.org/fbcheck/chinese-medical-experts-sent-to-nigeria-tested-positive-for-covid-19-no-headline-false/
LeadStories,2020/04/10 ,United States,false,Soap and hand sanitizer can be used to kill coronavirus in the body.,There is still no known cure for coronavirus once infected.,facebook,https://leadstories.com/hoax-alert/2020/04/Fact-Check-Soap-And-Hand-Sanitizer-Are-NOT-A-Cure-For-Coronavirus.html
Animal Político,2020/04/10 ,Mexico,false,"This death body was incinerated in the streets of Guayaquil, Mexico.",Authorities in Ecuador confirmed it was an empty coffin which was set on fire as a protest.,Facebook,https://www.animalpolitico.com/elsabueso/video-queman-cuerpo-ecuador-falso/
LeadStories,2020/04/10 ,United States,false,"Viral video with Dr. Shiva Ayyadurai proves Fauci, White House and others are members of deep state.","Most of the figures and facts the man makes, who is not a medical doctor, are unfounded in science.",youtube,https://leadstories.com/hoax-alert/2020/04/fact-check-biological-engineer-did-not-offer-medically-supported-information-in-viral-video.html
Animal Político,2020/04/10 ,Mexico,false,A kid was named “Gattel Covid” after the Ministry of Health’s subsecretary and the name of the disease.,There is no official register of anyone named Gatell Covid.,"Facebook, Twitter",https://animal.mx/2020/04/falso-registran-bebe-gattel-covid/
